,position,birth_country,weight,birth_state,name_display_first_last,college,height_inches,name_display_roster,sport_code,bats,name_first,team_code,birth_city,height_feet,pro_debut_date,team_full,team_abbrev,birth_date,throws,league,name_display_last_first,position_id,high_school,name_use,player_id,name_last,team_id,service_years,active_sw
99,P,USA,200,FL,Andrew Miller,North Carolina,7,Miller,mlb,L,Andrew,sln,Gainesville,6,2006-08-30T00:00:00,St. Louis Cardinals,STL,1985-05-21T00:00:00,L,NL,"Miller, Andrew",1,"F.W. Buchholz, Gainesville, FL",Andrew,453192,Miller,138,,Y
100,P,Colombia,220,,Jose Quintana,,1,Quintana,mlb,R,Jose,ana,Arjona,6,2012-05-07T00:00:00,Los Angeles Angels,LAA,1989-01-24T00:00:00,L,AL,"Quintana, Jose",1,,Jose,500779,Quintana,108,,Y
101,P,Dominican Republic,195,,Danny Salazar,,0,Salazar,mlb,R,Danny,cle,Santo Domingo,6,2013-07-11T00:00:00,Cleveland Indians,CLE,1990-01-11T00:00:00,R,AL,"Salazar, Danny",1,,Danny,517593,Salazar,114,,Y
102,P,USA,210,CA,Aaron Sanchez,,4,"Sanchez, Aa",mlb,R,Aaron,sfn,Barstow,6,2014-07-23T00:00:00,San Francisco Giants,SF,1992-07-01T00:00:00,R,NL,"Sanchez, Aaron",1,"Barstow, CA",Aaron,592717,Sanchez,137,,Y
103,P,USA,215,CA,Steven Wright,Hawaii,2,"Wright, S",mlb,R,Steven,bos,Torrance,6,2013-04-23T00:00:00,Boston Red Sox,BOS,1984-08-30T00:00:00,R,AL,"Wright, Steven",1,"Valley View, Moreno Valley, CA",Steven,453214,Wright,111,,Y
104,P,Dominican Republic,229,,Johnny Cueto,,11,Cueto,mlb,R,Johnny,sfn,San Pedro de Macoris,5,2008-04-03T00:00:00,San Francisco Giants,SF,1986-02-15T00:00:00,R,NL,"Cueto, Johnny",1,,Johnny,456501,Cueto,137,,Y
105,P,USA,230,MO,Jake Arrieta,Texas Christian,4,Arrieta,mlb,R,Jake,chn,Farmington,6,2010-06-10T00:00:00,Chicago Cubs,CHC,1986-03-06T00:00:00,R,NL,"Arrieta, Jake",1,"Plano East, Plano, TX",Jake,453562,Arrieta,112,,Y
106,P,USA,257,NC,Madison Bumgarner,,4,Bumgarner,mlb,R,Madison,ari,Hickory,6,2009-09-08T00:00:00,Arizona Diamondbacks,ARI,1989-08-01T00:00:00,L,NL,"Bumgarner, Madison",1,"South Caldwell, Hudson, NC",Madison,518516,Bumgarner,109,,Y
107,P,Dominican Republic,285,,Bartolo Colon,,11,Colon,mlb,R,Bartolo,tex,Altamira,5,1997-04-04T00:00:00,Texas Rangers,TEX,1973-05-24T00:00:00,R,AL,"Colon, Bartolo",1,,Bartolo,112526,Colon,140,,Y
108,P,Dominican Republic,240,,Jeurys Familia,,3,Familia,mlb,R,Jeurys,nyn,Santo Domingo,6,2012-09-04T00:00:00,New York Mets,NYM,1989-10-10T00:00:00,R,NL,"Familia, Jeurys",1,"Liceo Ana Lilian Miranda, Yaguate, DOM",Jeurys,544727,Familia,121,,Y
